,monocyte,plasma cell,fibroblast,macrophage
GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE,0.9333333333333333,0.8333333333333334,0.9333333333333333,0.8
GOBP_SINGLE_STRAND_BREAK_REPAIR,0.8333333333333334,0.6666666666666666,0.75,0.6666666666666666
GOBP_REGULATION_OF_DNA_RECOMBINATION,0.7832167832167832,0.6293706293706294,0.6993006993006993,0.5944055944055944
GOBP_REGULATION_OF_MITOTIC_RECOMBINATION,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855
GOBP_MITOTIC_SPINDLE_ELONGATION,0.6666666666666666,0.25,0.25,0.8333333333333334
GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY,0.6956521739130435,0.5217391304347826,0.6086956521739131,0.391304347826087
GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY,0.85,0.65,0.8,0.6
GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS,0.7714285714285715,0.6571428571428571,0.8571428571428571,0.6571428571428571
GOBP_TRANSITION_METAL_ION_TRANSPORT,0.79,0.66,0.73,0.53
GOBP_UREA_CYCLE,0.8181818181818182,0.6363636363636364,0.8181818181818182,0.45454545454545453
GOBP_CITRULLINE_METABOLIC_PROCESS,0.875,0.75,0.875,0.5
GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS,1.0,0.8666666666666667,0.8666666666666667,0.7333333333333333
GOBP_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS,1.0,1.0,1.0,1.0
GOBP_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS,1.0,0.875,0.875,0.625
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION,0.7989690721649485,0.6288659793814433,0.7061855670103093,0.6443298969072165
GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING,0.8195876288659794,0.6855670103092784,0.711340206185567,0.6649484536082474
GOBP_DNA_REPLICATION_CHECKPOINT_SIGNALING,0.8,0.7,0.6,0.6
GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS,0.8235294117647058,0.8529411764705882,0.8235294117647058,0.6764705882352942
GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS,0.8235294117647058,0.8235294117647058,0.8823529411764706,0.6470588235294118
GOBP_SULFUR_AMINO_ACID_CATABOLIC_PROCESS,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.5454545454545454
GOBP_SULFUR_AMINO_ACID_TRANSPORT,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.5833333333333334
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II,0.7161430119176598,0.581798483206934,0.6890574214517876,0.5005417118093174
GOBP_RRNA_MODIFICATION,0.7222222222222222,0.5833333333333334,0.7222222222222222,0.3888888888888889
GOBP_MAPK_CASCADE,0.7399741267787839,0.5575679172056921,0.685640362225097,0.5019404915912031
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY,0.9318181818181818,0.8636363636363636,0.9318181818181818,0.7954545454545454
GOBP_PROTEIN_POLYUBIQUITINATION,0.8832116788321168,0.7554744525547445,0.8467153284671532,0.6934306569343066
GOBP_MEIOTIC_SPINDLE_ORGANIZATION,0.7894736842105263,0.5263157894736842,0.631578947368421,0.42105263157894735
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION,0.7667682926829268,0.5746951219512195,0.7240853658536586,0.5564024390243902
GOBP_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY,0.48148148148148145,0.4444444444444444,0.5185185185185185,0.2962962962962963
GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY,0.7340425531914894,0.648936170212766,0.7127659574468085,0.48936170212765956
GOBP_ALLANTOIN_METABOLIC_PROCESS,0.6666666666666666,0.4444444444444444,0.7777777777777778,0.5555555555555556
GOBP_MITOCHONDRIAL_FISSION,0.95,0.825,0.925,0.7
GOBP_PEPTIDOGLYCAN_METABOLIC_PROCESS,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666
GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS,0.7727272727272727,0.6212121212121212,0.696969696969697,0.6212121212121212
GOBP_POLYSACCHARIDE_CATABOLIC_PROCESS,0.896551724137931,0.6896551724137931,0.8275862068965517,0.5172413793103449
GOBP_MITOTIC_CELL_CYCLE,0.787257019438445,0.6349892008639308,0.7365010799136069,0.6166306695464363
GOBP_MITOTIC_CYTOKINESIS,0.8461538461538461,0.6593406593406593,0.8131868131868132,0.7142857142857143
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY,0.9016393442622951,0.8524590163934426,0.9016393442622951,0.7540983606557377
GOBP_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING,0.875,0.84375,0.90625,0.8125
GOBP_DEADENYLATION_DEPENDENT_DECAPPING_OF_NUCLEAR_TRANSCRIBED_MRNA,1.0,1.0,1.0,0.7272727272727273
GOBP_RETROGRADE_TRANSPORT_VESICLE_RECYCLING_WITHIN_GOLGI,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6666666666666666
GOBP_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES,0.7707317073170732,0.6341463414634146,0.7365853658536585,0.5902439024390244
GOBP_RESPONSE_TO_OXYGEN_RADICAL,0.6428571428571429,0.5714285714285714,0.7142857142857143,0.42857142857142855
GOBP_PROTEIN_DENEDDYLATION,1.0,0.8181818181818182,1.0,0.45454545454545453
GOBP_FORMATION_OF_QUADRUPLE_SL_U4_U5_U6_SNRNP,0.0,0.0,0.0,0.0
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,0.8100890207715133,0.7091988130563798,0.7893175074183977,0.5786350148367952
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME,0.8493150684931506,0.7808219178082192,0.8493150684931506,0.6438356164383562
GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME,0.8181818181818182,0.7272727272727273,0.8181818181818182,0.6363636363636364
GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY,0.6981132075471698,0.5471698113207547,0.6981132075471698,0.3584905660377358
GOBP_MRNA_3_SPLICE_SITE_RECOGNITION,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.6666666666666666
GOBP_SPLICEOSOMAL_CONFORMATIONAL_CHANGES_TO_GENERATE_CATALYTIC_CONFORMATION,0.6,0.6,0.6,0.2
GOBP_RNA_SPLICING_VIA_ENDONUCLEOLYTIC_CLEAVAGE_AND_LIGATION,0.9285714285714286,0.6428571428571429,0.8571428571428571,0.6428571428571429
GOBP_MRNA_5_SPLICE_SITE_RECOGNITION,0.2608695652173913,0.30434782608695654,0.2608695652173913,0.17391304347826086
GOBP_PROTEIN_PEPTIDYL_PROLYL_ISOMERIZATION,0.68,0.48,0.6,0.4
GOBP_AUTOPHAGY_OF_MITOCHONDRION,0.9,0.7636363636363637,0.8454545454545455,0.6545454545454545
GOBP_MITOPHAGY,0.9154929577464789,0.7746478873239436,0.8732394366197183,0.676056338028169
GOBP_PEXOPHAGY,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.7142857142857143
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_ITS1_TO_SEPARATE_SSU_RRNA_FROM_5_8S_RRNA_AND_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA,0.8888888888888888,0.5555555555555556,0.6666666666666666,0.3333333333333333
GOBP_MATURATION_OF_5_8S_RRNA,0.9142857142857143,0.7142857142857143,0.8285714285714286,0.4857142857142857
GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA,0.9166666666666666,0.6666666666666666,0.8055555555555556,0.5
GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA,1.0,0.8125,1.0,0.5625
GOBP_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.4583333333333333
GOBP_MATURATION_OF_LSU_RRNA,1.0,0.8333333333333334,0.9583333333333334,0.5416666666666666
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_OF_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA,0.9375,0.6875,0.8125,0.5
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_5_ETS_OF_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA,1.0,0.7142857142857143,0.8571428571428571,0.42857142857142855
GOBP_SMALL_NUCLEOLAR_RIBONUCLEOPROTEIN_COMPLEX_ASSEMBLY,1.0,0.6666666666666666,0.8333333333333334,0.6666666666666666
GOBP_BOX_C_D_SNORNP_ASSEMBLY,1.0,0.6,0.8,0.6
GOBP_LNCRNA_MEDIATED_POST_TRANSCRIPTIONAL_GENE_SILENCING,0.5555555555555556,0.5555555555555556,0.7777777777777778,0.4444444444444444
GOBP_EMBRYONIC_AXIS_SPECIFICATION,0.5238095238095238,0.40476190476190477,0.5,0.38095238095238093
GOBP_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES,0.6470588235294118,0.5294117647058824,0.7058823529411765,0.47058823529411764
GOBP_TELOMERE_MAINTENANCE_VIA_RECOMBINATION,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.7142857142857143
GOBP_TELOMERE_MAINTENANCE,0.8427672955974843,0.7358490566037735,0.7672955974842768,0.6415094339622641
GOBP_RECOMBINATIONAL_REPAIR,0.8333333333333334,0.6666666666666666,0.765625,0.6822916666666666
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.5833333333333334
GOBP_DNA_DOUBLE_STRAND_BREAK_PROCESSING,0.7727272727272727,0.7727272727272727,0.7272727272727273,0.6818181818181818
GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR,0.9047619047619048,0.7142857142857143,0.7619047619047619,0.6904761904761905
GOBP_SISTER_CHROMATID_SEGREGATION,0.8085106382978723,0.6638297872340425,0.7276595744680852,0.6595744680851063
GOBP_REGULATION_OF_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
GOBP_CELL_MORPHOGENESIS,0.7288481141692151,0.5535168195718655,0.7043832823649337,0.49031600407747195
GOBP_CYTOKINESIS,0.7724867724867724,0.6349206349206349,0.7619047619047619,0.6613756613756614
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS,0.8888888888888888,0.8174603174603174,0.873015873015873,0.7142857142857143
GOBP_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS,1.0,1.0,0.8333333333333334,0.6666666666666666
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS,0.9285714285714286,0.7857142857142857,0.8928571428571429,0.625
GOBP_REGULATION_OF_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS,1.0,1.0,1.0,0.8
GOBP_MITOCHONDRIAL_RNA_PROCESSING,0.9545454545454546,0.8181818181818182,0.9090909090909091,0.5454545454545454
GOBP_MITOCHONDRIAL_RNA_3_END_PROCESSING,1.0,0.8571428571428571,1.0,0.5714285714285714
GOBP_RNA_5_END_PROCESSING,0.868421052631579,0.5789473684210527,0.7894736842105263,0.47368421052631576
GOBP_RRNA_5_END_PROCESSING,1.0,0.6,0.8,0.2
GOBP_TRANSCRIPTION_DEPENDENT_TETHERING_OF_RNA_POLYMERASE_II_GENE_DNA_AT_NUCLEAR_PERIPHERY,1.0,0.8571428571428571,1.0,0.8571428571428571
GOBP_RESPONSE_TO_ACID_CHEMICAL,0.7552447552447552,0.6013986013986014,0.7552447552447552,0.5034965034965035
GOBP_RNA_POLYMERASE_I_PREINITIATION_COMPLEX_ASSEMBLY,0.8181818181818182,0.7272727272727273,0.8181818181818182,0.45454545454545453
GOBP_FORMATION_OF_EXTRACHROMOSOMAL_CIRCULAR_DNA,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.6
GOBP_GUANINE_NUCLEOTIDE_TRANSPORT,1.0,0.6363636363636364,0.7272727272727273,0.5454545454545454
GOBP_SKELETAL_SYSTEM_DEVELOPMENT,0.6120527306967984,0.4670433145009416,0.6252354048964218,0.3804143126177024
GOBP_CARTILAGE_CONDENSATION,0.47368421052631576,0.42105263157894735,0.5263157894736842,0.3157894736842105
GOBP_OSSIFICATION,0.6438053097345132,0.497787610619469,0.6526548672566371,0.42920353982300885
GOBP_NEUROTRANSMITTER_UPTAKE,0.5555555555555556,0.4,0.5555555555555556,0.3333333333333333
GOBP_ACTION_POTENTIAL,0.6198830409356725,0.4444444444444444,0.6140350877192983,0.34502923976608185
GOBP_RNA_METHYLATION,0.8414634146341463,0.6829268292682927,0.8292682926829268,0.5
GOBP_PSEUDOURIDINE_SYNTHESIS,0.9444444444444444,0.7222222222222222,0.9444444444444444,0.2777777777777778
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY,0.5771428571428572,0.35428571428571426,0.52,0.30857142857142855
GOBP_OVARIAN_FOLLICLE_DEVELOPMENT,0.6842105263157895,0.5087719298245614,0.7017543859649122,0.47368421052631576
GOBP_OVULATION_FROM_OVARIAN_FOLLICLE,0.8888888888888888,0.3333333333333333,0.8888888888888888,0.4444444444444444
GOBP_ANTRAL_OVARIAN_FOLLICLE_GROWTH,0.5833333333333334,0.5,0.6666666666666666,0.4166666666666667
GOBP_LUTEINIZATION,0.6666666666666666,0.4166666666666667,0.75,0.3333333333333333
GOBP_LUTEOLYSIS,1.0,0.8333333333333334,1.0,0.5
GOBP_OOCYTE_MATURATION,0.5428571428571428,0.34285714285714286,0.42857142857142855,0.3142857142857143
GOBP_REGULATION_OF_CELL_GROWTH,0.7722772277227723,0.5965346534653465,0.7301980198019802,0.49504950495049505
GOBP_FATTY_ACID_ALPHA_OXIDATION,1.0,0.75,1.0,1.0
GOBP_RESPONSE_TO_PROTOZOAN,0.7741935483870968,0.41935483870967744,0.5161290322580645,0.3870967741935484
GOBP_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS,0.5277777777777778,0.3333333333333333,0.6944444444444444,0.3611111111111111
GOBP_VASCULOGENESIS,0.75,0.5,0.7976190476190477,0.47619047619047616
GOBP_GANGLIOSIDE_METABOLIC_PROCESS,0.75,0.7142857142857143,0.75,0.5357142857142857
GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS,0.7058823529411765,0.7647058823529411,0.7647058823529411,0.5882352941176471
GOBP_MICROTUBULE_BUNDLE_FORMATION,0.6106870229007634,0.37404580152671757,0.6030534351145038,0.32061068702290074
GOBP_OSTEOBLAST_DIFFERENTIATION,0.6091954022988506,0.4942528735632184,0.632183908045977,0.4482758620689655
GOBP_UROGENITAL_SYSTEM_DEVELOPMENT,0.5757575757575758,0.4090909090909091,0.5757575757575758,0.4090909090909091
GOBP_METANEPHROS_DEVELOPMENT,0.45652173913043476,0.3804347826086957,0.6086956521739131,0.31521739130434784
GOBP_TEMPERATURE_HOMEOSTASIS,0.7717391304347826,0.6195652173913043,0.7608695652173914,0.5434782608695652
