,CD8 T,Mono,B,DC,NK,other T,CD4 T
ADA2_TARGET_GENES,0.0021253985122210413,0.007438894792773645,0.0021253985122210413,0.009564293304994687,0.0010626992561105207,0.0021253985122210413,0.003188097768331562
ADCYAP1_TARGET_GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADNP_TARGET_GENES,0.0030303030303030303,0.012121212121212121,0.010606060606060607,0.016666666666666666,0.0015151515151515152,0.0030303030303030303,0.0030303030303030303
AEBP2_TARGET_GENES,0.005718954248366013,0.008986928104575163,0.008169934640522876,0.00980392156862745,0.004084967320261438,0.004084967320261438,0.004901960784313725
AHRR_TARGET_GENES,0.0056777856635912,0.016323633782824698,0.007806955287437899,0.015613910574875798,0.0042583392476933995,0.0063875088715401,0.0056777856635912
ALKBH3_TARGET_GENES,0.004514672686230248,0.006772009029345372,0.004514672686230248,0.009029345372460496,0.002257336343115124,0.002257336343115124,0.002257336343115124
ALX4_TARGET_GENES,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.030303030303030304
ARHGAP35_TARGET_GENES,0.0,0.008403361344537815,0.0,0.008403361344537815,0.0,0.0,0.0
ARID3B_TARGET_GENES,0.005050505050505051,0.010101010101010102,0.015151515151515152,0.010101010101010102,0.020202020202020204,0.005050505050505051,0.005050505050505051
ARID5B_TARGET_GENES,0.006355932203389831,0.011652542372881356,0.009533898305084746,0.015889830508474576,0.009533898305084746,0.00423728813559322,0.007415254237288136
ARNT2_TARGET_GENES,0.0,0.008862629246676515,0.005908419497784343,0.0103397341211226,0.0,0.0,0.0014771048744460858
ASH1L_TARGET_GENES,0.002044989775051125,0.006816632583503749,0.0034083162917518746,0.00954328561690525,0.002044989775051125,0.0027266530334014998,0.0027266530334014998
ASXL2_TARGET_GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATF5_TARGET_GENES,0.0021551724137931034,0.015086206896551725,0.00646551724137931,0.017241379310344827,0.00646551724137931,0.0,0.0021551724137931034
ATF6_TARGET_GENES,0.0018467220683287165,0.010156971375807941,0.006463527239150508,0.009233610341643583,0.0018467220683287165,0.0018467220683287165,0.0009233610341643582
ATM_TARGET_GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATOH8_TARGET_GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATXN7L3_TARGET_GENES,0.004335260115606936,0.023121387283236993,0.011560693641618497,0.024566473988439308,0.008670520231213872,0.005780346820809248,0.001445086705202312
AUTS2_TARGET_GENES,0.006191950464396285,0.010835913312693499,0.0030959752321981426,0.017027863777089782,0.0030959752321981426,0.006191950464396285,0.006191950464396285
