,CD8 T,Mono,B,DC,NK,other T,CD4 T
ENSG00000228794,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000225880,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000131591,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000186891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000186827,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000067606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162591,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000236948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000131697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000187017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171680,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000049246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000236266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000049247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000049249,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142583,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000180758,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000228526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000178585,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162441,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162490,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000028137,0.0,1.7656469,0.0,0.82231164,0.0,0.0,0.0
ENSG00000162496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000189337,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000159339,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000272084,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000158747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142794,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000240553,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117318,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000197880,0.0,0.0,0.0,0.0,0.0,0.0,0.0
