,CD8 T,Mono,B,DC,NK,other T,CD4 T
LINC01128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1orf159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRKCZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEGF6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NPHP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESPN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLEKHG5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PER3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UTS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERRFI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC2A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPR157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR34AHG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPSB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNBIP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LZIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRAXIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF1B,0.0,1.7656469,0.0,0.82231164,0.0,0.0,0.0
DHRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KAZN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PADI4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MICOS10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMK2N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBPF3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCEA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELOA-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFNLR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STPG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCAN3AS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCAN3,0.0,0.0,0.0,0.0,0.0,0.0,1.280775
CLIC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RHCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAN1C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STMN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAFAH2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDIK1L,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF683,0.0,0.0,0.0,0.0,0.0,0.0,0.0
